drug_id;name;commercial_name;price;company;prescription
1;Acetaminophen;Tylenol;8.99;Johnson & Johnson;False
2;Ibuprofen;Advil;7.49;Pfizer;False
3;Aspirin;Bayer Aspirin;6.99;Bayer;False
4;Naproxen;Aleve;9.49;Bayer;False
5;Loratadine;Claritin;12.99;Bayer;False
6;Cetirizine;Zyrtec;14.99;Johnson & Johnson;False
7;Fexofenadine;Allegra;16.99;Sanofi;False
8;Diphenhydramine;Benadryl;7.99;Johnson & Johnson;False
9;Amoxicillin;Amoxil;22.5;GlaxoSmithKline;True
10;Azithromycin;Zithromax;35.75;Pfizer;True
11;Ciprofloxacin;Cipro;42.99;Bayer;True
12;Metformin;Glucophage;15.5;Bristol Myers Squibb;True
13;Lisinopril;Prinivil;18.75;Merck;True
14;Atorvastatin;Lipitor;45.99;Pfizer;True
15;Simvastatin;Zocor;32.5;Merck;True
16;Omeprazole;Prilosec;24.99;AstraZeneca;False
17;Esomeprazole;Nexium;28.75;AstraZeneca;True
18;Fluoxetine;Prozac;37.5;Eli Lilly;True
19;Sertraline;Zoloft;42.25;Pfizer;True
20;Escitalopram;Lexapro;48.99;Forest Laboratories;True
21;Alprazolam;Xanax;29.99;Pfizer;True
22;Diazepam;Valium;27.5;Roche;True
23;Zolpidem;Ambien;36.25;Sanofi;True
24;Levothyroxine;Synthroid;19.99;AbbVie;True
25;Amlodipine;Norvasc;22.75;Pfizer;True
26;Hydrochlorothiazide;Microzide;14.25;Watson Pharmaceuticals;True
27;Metoprolol;Lopressor;17.99;Novartis;True
28;Losartan;Cozaar;32.75;Merck;True
29;Prednisone;Deltasone;12.5;Pfizer;True
30;Albuterol;Ventolin;25.99;GlaxoSmithKline;True
31;Fluticasone;Flonase;21.99;GlaxoSmithKline;False
32;Montelukast;Singulair;47.75;Merck;True
33;Gabapentin;Neurontin;38.5;Pfizer;True
34;Pregabalin;Lyrica;52.99;Pfizer;True
35;Duloxetine;Cymbalta;54.75;Eli Lilly;True
36;Venlafaxine;Effexor;49.99;Pfizer;True
37;Citalopram;Celexa;29.75;Forest Laboratories;True
38;Warfarin;Coumadin;15.25;Bristol Myers Squibb;True
39;Clopidogrel;Plavix;45.5;Sanofi;True
40;Methotrexate;Trexall;67.99;Teva Pharmaceuticals;True
41;Cyclobenzaprine;Flexeril;18.25;McNeil Consumer;True
42;Meloxicam;Mobic;24.5;Boehringer Ingelheim;True
43;Tramadol;Ultram;26.75;Johnson & Johnson;True
44;Oxycodone;OxyContin;58.99;Purdue Pharma;True
45;Hydrocodone;Vicodin;47.25;AbbVie;True
46;Morphine;MS Contin;62.5;Purdue Pharma;True
47;Sumatriptan;Imitrex;89.99;GlaxoSmithKline;True
48;Ondansetron;Zofran;72.5;GlaxoSmithKline;True
49;Promethazine;Phenergan;19.75;Wyeth;True
50;Metoclopramide;Reglan;23.99;ANI Pharmaceuticals;True
51;Pantoprazole;Protonix;32.25;Pfizer;True
52;Ranitidine;Zantac;14.99;GlaxoSmithKline;False
53;Famotidine;Pepcid;13.75;Johnson & Johnson;False
54;Clonazepam;Klonopin;31.5;Roche;True
55;Lorazepam;Ativan;28.99;Wyeth;True
56;Trazodone;Desyrel;21.25;Sanofi;True
57;Bupropion;Wellbutrin;46.5;GlaxoSmithKline;True
58;Methylphenidate;Ritalin;39.99;Novartis;True
59;Amphetamine;Adderall;57.25;Teva Pharmaceuticals;True
60;Lisdexamfetamine;Vyvanse;85.99;Takeda;True
61;Atomoxetine;Strattera;74.5;Eli Lilly;True
62;Levetiracetam;Keppra;63.75;UCB;True
63;Lamotrigine;Lamictal;52.25;GlaxoSmithKline;True
64;Valproic Acid;Depakote;44.99;AbbVie;True
65;Carbamazepine;Tegretol;37.25;Novartis;True
66;Phenytoin;Dilantin;21.5;Pfizer;True
67;Rosuvastatin;Crestor;58.75;AstraZeneca;True
68;Pravastatin;Pravachol;42.99;Bristol Myers Squibb;True
69;Lovastatin;Mevacor;36.25;Merck;True
70;Fenofibrate;TriCor;49.5;AbbVie;True
71;Gemfibrozil;Lopid;32.99;Pfizer;True
72;Glipizide;Glucotrol;19.25;Pfizer;True
73;Glyburide;DiaBeta;21.75;Sanofi;True
74;Sitagliptin;Januvia;67.5;Merck;True
75;Pioglitazone;Actos;56.99;Takeda;True
76;Empagliflozin;Jardiance;89.25;Boehringer Ingelheim;True
77;Canagliflozin;Invokana;92.5;Johnson & Johnson;True
78;Dapagliflozin;Farxiga;87.99;AstraZeneca;True
79;Liraglutide;Victoza;125.75;Novo Nordisk;True
80;Dulaglutide;Trulicity;132.99;Eli Lilly;True
81;Semaglutide;Ozempic;142.5;Novo Nordisk;True
82;Insulin Glargine;Lantus;95.75;Sanofi;True
83;Insulin Detemir;Levemir;98.99;Novo Nordisk;True
84;Insulin Lispro;Humalog;88.25;Eli Lilly;True
85;Insulin Aspart;NovoLog;91.5;Novo Nordisk;True
86;Furosemide;Lasix;12.75;Sanofi;True
87;Spironolactone;Aldactone;24.25;Pfizer;True
88;Bumetanide;Bumex;19.99;Roche;True
89;Triamterene;Dyrenium;27.75;WellSpring Pharmaceutical;True
90;Valsartan;Diovan;42.25;Novartis;True
91;Olmesartan;Benicar;47.99;Daiichi Sankyo;True
92;Irbesartan;Avapro;39.5;Sanofi;True
93;Candesartan;Atacand;44.75;AstraZeneca;True
94;Enalapril;Vasotec;22.99;Merck;True
95;Ramipril;Altace;26.25;Pfizer;True
96;Benazepril;Lotensin;21.5;Novartis;True
97;Quinapril;Accupril;23.75;Pfizer;True
98;Diltiazem;Cardizem;31.25;Valeant;True
99;Verapamil;Calan;27.99;Pfizer;True
100;Nifedipine;Procardia;34.5;Pfizer;True
101;Carvedilol;Coreg;36.75;GlaxoSmithKline;True
102;Bisoprolol;Zebeta;29.25;Merck;True
103;Propranolol;Inderal;19.99;Pfizer;True
104;Atenolol;Tenormin;15.75;AstraZeneca;True
105;Nebivolol;Bystolic;52.99;Forest Laboratories;True
106;Digoxin;Lanoxin;13.25;Concordia;True
107;Amiodarone;Pacerone;47.5;Upsher-Smith;True
108;Sotalol;Betapace;39.25;Pfizer;True
109;Flecainide;Tambocor;45.99;3M;True
110;Propafenone;Rythmol;51.75;GlaxoSmithKline;True
111;Rivaroxaban;Xarelto;112.5;Johnson & Johnson;True
112;Apixaban;Eliquis;108.99;Bristol Myers Squibb;True
113;Dabigatran;Pradaxa;115.25;Boehringer Ingelheim;True
114;Edoxaban;Savaysa;105.75;Daiichi Sankyo;True
115;Enoxaparin;Lovenox;87.5;Sanofi;True
116;Heparin;Heparin;42.25;Pfizer;True
117;Simethicone;Gas-X;8.25;GlaxoSmithKline;False
118;Bismuth Subsalicylate;Pepto-Bismol;7.75;Procter & Gamble;False
